ID,WC,Analytic,Clout,Authentic,Tone,WPS,Sixltr,Dic,function,pronoun,ppron,i,we,you,shehe,they,ipron,article,prep,auxverb,adverb,conj,negate,verb,adj,compare,interrog,number,quant,affect,posemo,negemo,anx,anger,sad,social,family,friend,female,male,cogproc,insight,cause,discrep,tentat,certain,differ,percept,see,hear,feel,bio,body,health,sexual,ingest,drives,affiliation,achieve,power,reward,risk,focuspast,focuspresent,focusfuture,relativ,motion,space,time,work,leisure,home,money,relig,death,informal,swear,netspeak,assent,nonflu,filler,AllPunc,Period,Comma,Colon,SemiC,QMark,Exclam,Dash,Quote,Apostro,Parenth,OtherP
26,14,1,50,1.06,1,4.67,7.14,85.71,78.57,42.86,28.57,7.14,0,0,0,21.43,14.29,0,0,28.57,0,0,7.14,28.57,7.14,0,0,0,0,7.14,0,7.14,0,0,7.14,21.43,0,0,0,0,14.29,0,0,7.14,0,0,7.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.43,21.43,0,0,0,0,0,0,0,0,0,0
27,24,72.69,99,7.84,1,24,16.67,75,45.83,20.83,20.83,4.17,8.33,4.17,0,4.17,0,12.5,4.17,0,0,8.33,0,12.5,8.33,8.33,0,0,8.33,8.33,0,8.33,0,4.17,0,20.83,0,0,0,0,8.33,4.17,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,20.83,8.33,0,8.33,4.17,0,0,12.5,0,4.17,0,4.17,0,0,0,0,0,0,0,0,0,0,0,0,0,4.17,4.17,0,0,0,0,0,0,0,0,0,0
28,10,8.69,2.31,93.3,1,10,20,80,50,0,0,0,0,0,0,0,0,0,10,0,10,20,20,0,0,0,10,0,0,10,0,10,0,0,0,10,0,0,0,0,20,0,10,0,0,0,10,0,0,0,0,10,10,0,0,0,10,0,0,10,0,0,0,10,0,20,0,10,10,0,0,0,0,0,0,0,0,0,0,0,0,20,10,0,0,0,0,0,0,0,10,0,0
29,30,62.04,63.05,23.51,1.03,10,10,86.67,50,10,10,3.33,3.33,0,0,3.33,0,6.67,10,16.67,3.33,0,3.33,26.67,0,0,0,6.67,0,3.33,0,3.33,0,0,0,10,3.33,0,0,0,20,10,6.67,6.67,0,0,3.33,0,0,0,0,3.33,0,3.33,0,0,10,6.67,0,3.33,0,0,0,23.33,0,6.67,0,6.67,0,0,3.33,3.33,0,6.67,0,0,0,0,0,0,0,10,10,0,0,0,0,0,0,0,0,0,0
30,34,34.65,50,66.34,79.41,34,20.59,79.41,50,17.65,17.65,8.82,0,0,0,8.82,0,2.94,8.82,5.88,0,14.71,0,17.65,0,0,0,0,2.94,8.82,5.88,2.94,0,2.94,0,8.82,0,0,0,0,11.76,0,8.82,0,0,2.94,0,0,0,0,0,0,0,0,0,0,2.94,0,0,0,0,2.94,0,5.88,0,14.71,0,11.76,2.94,0,0,0,0,2.94,0,0,0,0,0,0,0,2.94,2.94,0,0,0,0,0,0,0,0,0,0
31,24,62.04,50,48.89,99,6,4.17,100,58.33,20.83,12.5,8.33,4.17,0,0,0,8.33,16.67,4.17,8.33,8.33,0,0,20.83,4.17,0,4.17,0,4.17,12.5,12.5,0,0,0,0,4.17,0,0,0,0,12.5,4.17,8.33,0,0,4.17,0,8.33,0,0,8.33,0,0,0,0,0,4.17,4.17,0,0,0,0,0,12.5,0,8.33,4.17,0,4.17,4.17,8.33,0,0,0,0,0,0,0,0,0,0,16.67,16.67,0,0,0,0,0,0,0,0,0,0
32,7,93.26,7.67,13.15,25.77,7,14.29,71.43,57.14,0,0,0,0,0,0,0,0,0,28.57,0,0,14.29,14.29,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0
33,33,6.27,50,1,1,11,27.27,81.82,48.48,21.21,9.09,3.03,6.06,0,0,0,12.12,3.03,0,18.18,0,0,6.06,24.24,3.03,3.03,0,9.09,6.06,18.18,0,18.18,0,18.18,0,9.09,0,0,0,0,18.18,0,0,3.03,6.06,3.03,6.06,0,0,0,0,3.03,0,0,0,3.03,18.18,6.06,0,12.12,0,0,0,15.15,9.09,0,0,0,0,0,0,0,0,0,3.03,0,0,0,0,0,0,36.36,0,0,0,0,0,15.15,3.03,0,0,18.18,0
34,93,42.34,33.35,6.33,25.77,8.45,17.2,79.57,52.69,12.9,6.45,2.15,3.23,0,0,1.08,6.45,4.3,11.83,8.6,7.53,5.38,5.38,12.9,5.38,0,0,3.23,2.15,6.45,3.23,3.23,0,0,0,6.45,0,0,0,0,19.35,3.23,4.3,4.3,1.08,0,6.45,0,0,0,0,5.38,0,2.15,0,3.23,12.9,4.3,1.08,5.38,2.15,0,0,9.68,1.08,4.3,1.08,3.23,0,1.08,0,0,0,0,0,0,0,0,0,0,0,16.13,11.83,3.23,0,0,0,0,0,0,1.08,0,0
35,7,5.89,92.33,1,1,7,14.29,85.71,71.43,14.29,14.29,0,0,14.29,0,0,0,14.29,0,14.29,0,14.29,14.29,0,0,0,0,0,0,14.29,0,14.29,0,14.29,0,14.29,0,0,0,0,14.29,0,14.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,0,0,0,0,14.29,0,0,0,0,0,0,14.29,14.29,0,0,0,0,0,0,0,0,0,0
36,62,84.99,31.43,39.18,7.28,62,9.68,70.97,48.39,6.45,3.23,0,0,0,0,3.23,3.23,3.23,17.74,1.61,1.61,14.52,3.23,11.29,0,3.23,0,0,6.45,1.61,0,1.61,0,0,0,3.23,0,0,0,0,16.13,0,1.61,0,9.68,0,4.84,0,0,0,0,9.68,0,9.68,0,0,1.61,0,0,1.61,0,0,1.61,11.29,0,14.52,0,12.9,1.61,0,1.61,0,0,0,0,0,0,0,0,0,0,1.61,1.61,0,0,0,0,0,0,0,0,0,0
